19930114   298 22.4
19930118   566 18.1
19930118   800 18.9
19930121   960 15.8
19930125  1247 19.8
19930128  1521 17.1
19930128  1817 19.8
19930202  2079 18.0
19930202  2342 10.0
19930209  2511 16.4
19930212  2780 16.7
19930214  3024 19.0
19930215  3320 17.7
19930302  3560 16.4
19930312  3853 18.8
19930313  4105 18.5
19930315  4370 17.7
19930407  5062 19.5
19930410  5374 20.8
19930412  5723 20.8
19930420  6061 20.4
19930422  6359 20.3
19930511  6737 19.5
19930523  7142 19.9
19930525  7488 20.9
19930528  7843 19.7
19930529  8176 20.6
19930531  8482 19.8
19930531  8778 20.3
19930701  9406 21.0
19930702  9650 23.6
19930703 10040 24.5
19930706 10310 16.8
19930706 10605 19.2
19930723 10960 20.6
19930725 11222 20.0
19930810 11527 20.0
19930902 11875 20.8
19930904 12210 20.8
19930907 12480 22.1
19930908 12751 22.
19930910 13115 23.3
19930911 13430 21.3
19930928 13701 20.
19931015 14058 20.8
19931016 14329 18.5
19931018 14615 20.2
19931019 14880 21.3
19931030 15208 21.
19931031 15402 20.1
19931031 15700 22.9
19931101 15986 20.8
19931102 16289 21.8
19931103 16624 21.2
19931103 16890 18.4
19931124 17233 21.1
19931124 17512 17.6
19931127 17848 20.8
19931129 18159 18.1
19931208 18521 18.9
19931216 18881 19.3
19931222 19203 19.9
19931222 19460 20.4
19940102 19731 16.1
19940103 19969 18.5
19940127 20417 16.6
19940213 20681 18.1
19940219 21228 21.3
19940222 21542 18.4
19940222 21752 20.
19940310 22071 18.3
19940330 22371 19.4
19940402 22660 20.9
19940402 22867 21.
19940404 23180 21.4
19940404 23437 23.7
19940405 23702 20.7
19940521 24210 18.6
19940521 24429 21.3
19940525 24824 21.6
19940621 25208 20.6
19940701 25582 20.0
19940701 25878 21.3
19940702 26196 21.9
19940704 26443 21.3
19940705 26661 21.
19940707 26990 20.1
19940708 27269 20.3
19940710 27604 20.3
19940710 27800 21.
19940713 28158 20.7
19940715 28458 22.3
19940725 28779 19.8
19940729 29124 20.8
19940729 29417 20.4
19940830 29774 21.2
19940831 30067 20.2
19940908 30391 20.5
19941006 30391 20.5
19941011 31041 19.6
19941013 31238 19.5
19941014 31535 20.7
19941015 31840 23.6
19941017 32106 20.3
19941027 32427 21.
19941103 32736 20.5
19941123 33267 19.7
19941123 33550 20.2
19941128 33852 19.1
19941128 34191 19.4
19941201 34509 18.3
19941216 34847 19.4
19941223 35155 20.6
19941223 35452 20.1
19941227 35695 23.1
19941228 36012 22.0
19941230 36330 20.4
19950102 36596 16.5
19950103 36847 17.2
19950112 37177 19.1
19950119 37457 24.3
19950131 37772 18.8
19950221 38060 19.1
19950225 38370 20.6
19950304 38673 20.4
19950314 38989 20.3
19950324 39308 21.0
19950330 39637 20.3
19950405 39947 20.8
19950410 40281 21.0
19950411 40556 20.1
19950412 40836 19.2
19950413 41057 22.5
19950413 41357 23.3
19950418 41651 20.5
19950418 41948 23.4
19950421 42222 20.9
19950427 42539 21.4
19950505 42859 21.3
19950505 43189 22.0
19950508 43517 21.2
19950508 43815 23.5
19950516 44115 22.3
19950523 44449 21.4
19950526 44730 21.9
19950531 45009 21.0
19950612 45324 22.2
19950622 45644 23.0
19950622 45843 22.9
19950625 46139 20.8
19950626 46454 21.1
19950629 46819 23.0
19950706 47153 21.7
19950715 47485 21.2
19950722 47799 22.1
19950728 48121 20.4
19950803 48439 21.7
19950809 48752 20.9
19950817 49059 20.1
19950817 49387 23.4
19950829 49756 21.5
19950905 50078 21.7
19950914 50391 22.5
19950929 50723 21.1
19951007 50939 21.5
19951012 51147 20.9
19951013 51459 20.8
19951016 51770 21.7
19951017 52054 22.1
19951017 52377 21.8
19951021 52714 21.2
19951022 52955 20.1
19951022 53233 22.1
19951027 53544 21.7
19951102 53872 20.9
19951109 54186 20.3
19951116 54506 19.7
19951123 54769 19.4
19951123 55098 22.3
19951127 55432 20.7
19951130 55701 21.8
19951206 56021 21.6
19951210 56329 20.0
19951220 56646 21.1
19951221 56943 20.1
19951226 57219 19.6
19951228 57523 21.6
19951229 57812 18.4
19960103 58087 18.1
19960105 58378 20.3
19960116 58678 20.6
19960120 59015 17.5
19960126 59323 19.8
19960201 59633 18.7
19960203 59845 18.7
19960214 60163 20.0
19960215 60406 20.5
19960217 60687 21.0
19960219 60993 19.1
19960220 61263 21.2
19960225 61569 22.3
19960301 61871 20.2
19960308 62155 19.7
19960315 62475 21.6
19960320 62746 20.5
19960323 63070 21.3
19960326 63414 21.2
19960405 63722 21.0
19960406 64041 19.5
19960410 64385 21.7
19960410 64714 20.4
19960419 65034 21.6
19960425 65335 22.0
19960505 65654 22.1
19960508 65998 21.7
19960512 66305 21.8
19960512 66602 20.8
19960518 66888 23.3
19960530 67194 23.3
19960608 67505 22.3
19960902 68066 19.7
19960903 68364 21.5
19960906 68630 22.6
19960907 68931 21.1
19960907 69231 18.9
19960908 69484 22.9
19960908 69720 21.7
19960909 70021 21.3
19960909 70202 21.6
19960909 70499 22.0
19960909 70817 22.5
19960910 71123 22.5
19960910 71443 22.5
19961004 71773 20.9
19961017 72104 21.9
19961019 72400 21.5
19961021 72710 20.9
19961115 73055 21.7
19961128 73505 19.5
19961130 73799 18.5
19961202 74098 18.6
19961213 74422 18.4
19961221 74577 17.1
19961223 74873 21.0
19961231 75176 20.6
19970101 75476 20.0
19970107 75822 20.0
19970114 76086 18.1
19970212 76283 15.1
19970224 76574 18.3
19970310 76841 19.4
19970311 77382 19.9
19970313 77690 20.8
19970327 78000 22.1
19970328 78555 22.7
